entry_date,exit_date,ticker,combo,ff,contracts,cost_per_contract,pnl,ret_pct
2025-01-08,2025-02-06,TGT,30-51,0.10433581487990495,10,488.1000000000001,-1947.0,-0.39889366933005527
2025-01-10,2025-02-06,DG,28-49,0.10192321074319444,10,257.1000000000001,-807.0000000000006,-0.31388564760793475
2025-01-23,2025-02-13,ADBE,22-43,0.10331421718998857,10,964.6,-182.00000000000057,-0.018867924528301945
2025-01-24,2025-02-13,UAL,21-42,0.08341355164965525,10,386.10000000000014,512.9999999999997,0.13286713286713273
2025-01-24,2025-02-13,LULU,21-42,0.042417302730160866,10,1037.1,3028.000000000002,0.2919679876578924
2025-01-24,2025-02-13,MMM,21-42,0.03829184712264211,10,386.1,2148.0,0.5563325563325563
2025-01-30,2025-02-13,C,15-43,0.04931909320780825,10,332.6,-716.9999999999999,-0.21557426337943472
2025-01-16,2025-02-20,DLTR,36-64,0.21536900750546129,10,510.1,2113.0,0.41423250343069984
2025-01-16,2025-02-20,DAL,36-64,0.025570122968228803,10,200.6,857.9999999999998,0.42771684945164495
2025-01-16,2025-02-20,BLK,36-64,0.019337126181693032,10,2024.6,7207.999999999999,0.3560209424083769
2025-01-27,2025-02-20,GE,25-53,0.08808884779747794,10,537.5999999999999,-1901.9999999999982,-0.35379464285714257
2025-01-30,2025-02-20,RTX,22-43,0.11136125567580102,10,254.6,152.99999999999986,0.06009426551453254
2025-01-30,2025-02-20,HCA,22-50,0.1022994862653197,10,1019.5999999999998,333.00000000000176,0.032659866614358754
2025-01-30,2025-02-20,LII,22-50,0.047654902786456566,10,1879.6,-3392.0000000000036,-0.18046392849542475
2025-01-16,2025-02-27,JPM,43-64,0.02643509556733248,10,335.1,3538.0,1.0558042375410326
2025-01-24,2025-02-27,ISRG,35-83,0.13619359347701754,10,2294.6,9308.000000000002,0.40564804323193593
2025-01-24,2025-02-27,FCX,35-83,0.006056342906639367,10,146.1,1362.9999999999995,0.9329226557152632
2025-01-29,2025-02-27,BA,30-51,0.017414620225082444,10,372.1,3217.9999999999995,0.8648212846009136
2025-01-30,2025-02-27,COST,29-50,0.1819349707124447,10,2354.6,8583.000000000002,0.36452051303830807
2025-01-30,2025-02-27,SBUX,29-77,0.011301040208246071,10,399.1000000000001,-207.00000000000003,-0.05186670007516912
2025-02-13,2025-02-27,KKR,15-43,0.2065169653599448,10,657.1000000000001,-1617.0000000000005,-0.2460812661695328
2025-02-13,2025-02-27,CBOE,15-50,0.14762344797500582,10,822.1,-2042.0000000000002,-0.24838827393261162
2025-02-13,2025-02-27,CHTR,15-50,0.12896833638662364,10,1809.6,2307.9999999999977,0.12754199823165327
2025-02-06,2025-03-06,CMG,29-50,0.1705877294143685,10,166.10000000000002,-1547.0000000000007,-0.9313666465984349
2025-02-13,2025-03-06,MA,22-43,0.1241904409384742,10,932.1,-282.00000000000557,-0.03025426456388859
2025-02-20,2025-03-06,EL,15-43,0.08001214853517058,10,417.6,-516.9999999999991,-0.12380268199233695
2025-02-20,2025-03-06,PANW,15-43,0.0559271744553993,10,670.6,-3762.0000000000023,-0.5609901580674027
2025-02-13,2025-03-13,PSX,29-50,0.25356988863845253,10,359.6,1408.0,0.39154616240266965
2025-02-20,2025-03-13,VRTX,22-43,0.11234491549938252,10,1379.6,-2016.9999999999998,-0.14620179762249927
2025-02-27,2025-03-13,COP,15-43,0.002954376302986006,10,357.6,993.0000000000009,0.2776845637583895
2025-02-20,2025-03-20,CHRW,29-56,0.15999535400589582,10,297.1,158.0000000000002,0.05318074722315725
2025-02-20,2025-03-20,HUM,29-56,0.11490280505722583,10,1569.6,11282.999999999996,0.7188455657492352
2025-02-20,2025-03-20,CARR,29-56,0.03815669495951268,10,184.59999999999997,-116.99999999999994,-0.06338028169014083
2025-02-27,2025-03-20,DVA,22-49,0.13143939822061745,10,494.6000000000001,1858.0000000000002,0.3756570966437525
2025-02-27,2025-03-20,KLAC,22-49,0.014140490668126393,10,2604.6000000000004,10133.000000000002,0.3890424633341012
2025-02-28,2025-03-20,CB,21-48,0.12283638486103654,10,627.1,-992.000000000002,-0.15818848668473962
2025-03-06,2025-03-20,CDW,15-42,0.06401735721283441,10,514.6,-192.00000000000034,-0.03731053245239027
2025-02-06,2025-03-27,PG,50-70,0.24505936893026314,10,258.6000000000001,627.9999999999995,0.24284609435421475
2025-02-20,2025-03-27,V,36-56,0.1670977453797755,10,574.6000000000001,822.9999999999984,0.14323007309432617
2025-02-27,2025-03-27,QCOM,29-49,0.05378683946426266,10,346.6,822.9999999999998,0.23744950952106167
