date,account,n_positions,account_mtm
2018-06-25,302055.19999999995,9,311651.19999999995
2018-06-26,302055.19999999995,9,307191.19999999995
2018-06-27,302055.19999999995,9,300136.19999999995
2018-06-28,312729.19999999995,7,312657.19999999995
2018-06-29,312729.19999999995,7,313737.19999999995
2018-07-02,312729.19999999995,7,319302.19999999995
2018-07-03,312729.19999999995,7,315168.19999999995
2018-07-04,312729.19999999995,7,315168.19999999995
2018-07-05,326435.19999999995,5,328615.19999999995
2018-07-06,326435.19999999995,5,329690.19999999995
2018-07-09,326435.19999999995,5,328695.19999999995
2018-07-10,326435.19999999995,5,327850.19999999995
2018-07-11,326435.19999999995,6,328800.19999999995
2018-07-12,327448.19999999995,5,331093.19999999995
2018-07-13,327448.19999999995,5,331243.19999999995
2018-07-16,327448.19999999995,5,331843.19999999995
2018-07-17,327448.19999999995,5,331443.19999999995
2018-07-18,327448.19999999995,5,334258.19999999995
2018-07-19,328222.19999999995,2,330680.19999999995
2018-07-20,328222.19999999995,3,328076.19999999995
2018-07-23,328222.19999999995,3,330580.19999999995
2018-07-24,328222.19999999995,3,329949.19999999995
2018-07-25,328222.19999999995,3,330694.19999999995
2018-07-26,331563.19999999995,4,330934.19999999995
2018-07-27,331563.19999999995,4,330604.19999999995
2018-07-30,331563.19999999995,5,326603.19999999995
2018-07-31,331563.19999999995,5,328488.19999999995
2018-08-01,331563.19999999995,5,330328.19999999995
2018-08-02,331563.19999999995,7,332741.19999999995
2018-08-03,331563.19999999995,7,332843.19999999995
2018-08-06,331563.19999999995,8,336435.19999999995
2018-08-07,331563.19999999995,8,337515.19999999995
2018-08-08,331563.19999999995,9,335174.19999999995
2018-08-09,334609.19999999995,9,335196.19999999995
2018-08-10,334609.19999999995,10,335654.19999999995
2018-08-13,334609.19999999995,11,336738.19999999995
2018-08-14,334609.19999999995,12,334547.19999999995
2018-08-15,334609.19999999995,13,330991.19999999995
2018-08-16,337588.19999999995,10,331845.19999999995
2018-08-17,337588.19999999995,12,333447.19999999995
2018-08-20,337588.19999999995,12,332456.19999999995
2018-08-21,337588.19999999995,12,336427.19999999995
2018-08-22,337588.19999999995,13,334910.19999999995
2018-08-23,338371.19999999995,12,338871.19999999995
2018-08-24,338371.19999999995,15,337741.19999999995
2018-08-27,338371.19999999995,17,335559.19999999995
2018-08-28,338371.19999999995,17,337449.19999999995
2018-08-29,338371.19999999995,17,331264.19999999995
2018-08-30,338371.19999999995,17,334536.19999999995
2018-08-31,338371.19999999995,18,332420.19999999995
2018-09-03,338371.19999999995,18,332420.19999999995
2018-09-04,338371.19999999995,18,341498.19999999995
2018-09-05,338371.19999999995,18,346773.19999999995
2018-09-06,351945.19999999995,10,353810.19999999995
2018-09-07,351945.19999999995,10,354295.19999999995
2018-09-10,351945.19999999995,10,356945.19999999995
2018-09-11,351945.19999999995,11,357176.19999999995
2018-09-12,351945.19999999995,11,360760.19999999995
2018-09-13,354841.19999999995,11,357400.19999999995
2018-09-14,354841.19999999995,12,351374.19999999995
2018-09-17,354841.19999999995,13,353323.19999999995
2018-09-18,354841.19999999995,14,353527.19999999995
2018-09-19,354841.19999999995,14,349477.19999999995
2018-09-20,358889.19999999995,11,349683.19999999995
2018-09-21,358889.19999999995,11,345053.19999999995
2018-09-24,358889.19999999995,11,348978.19999999995
2018-09-25,358889.19999999995,11,351333.19999999995
2018-09-26,358889.19999999995,11,352878.19999999995
2018-09-27,350871.19999999995,7,351434.19999999995
2018-09-28,350871.19999999995,7,354249.19999999995
2018-10-01,350871.19999999995,7,356555.19999999995
2018-10-02,350871.19999999995,7,358699.19999999995
2018-10-03,350871.19999999995,7,358155.19999999995
2018-10-04,361303.19999999995,4,364554.19999999995
2018-10-05,361303.19999999995,4,364864.19999999995
2018-10-08,361303.19999999995,5,361798.19999999995
2018-10-09,361303.19999999995,5,364878.19999999995
2018-10-10,361303.19999999995,5,364153.19999999995
2018-10-11,373186.19999999995,4,368072.19999999995
2018-10-12,373186.19999999995,4,372567.19999999995
2018-10-15,373186.19999999995,4,369327.19999999995
2018-10-16,373186.19999999995,5,374576.19999999995
2018-10-17,373186.19999999995,5,375811.19999999995
2018-10-18,371289.19999999995,4,375945.19999999995
2018-10-19,371289.19999999995,4,374150.19999999995
2018-10-22,371289.19999999995,4,375555.19999999995
2018-10-23,371289.19999999995,4,375725.19999999995
2018-10-24,371289.19999999995,5,375750.19999999995
2018-10-25,375678.19999999995,3,374670.19999999995
2018-10-26,375678.19999999995,5,374204.19999999995
2018-10-29,375678.19999999995,5,374238.19999999995
2018-10-30,375678.19999999995,5,376303.19999999995
2018-10-31,375678.19999999995,5,375783.19999999995
2018-11-01,377836.19999999995,5,376586.19999999995
2018-11-02,377836.19999999995,6,375725.19999999995
2018-11-05,377836.19999999995,6,375115.19999999995
2018-11-06,377836.19999999995,6,375150.19999999995
2018-11-07,377836.19999999995,6,372195.19999999995
2018-11-08,377836.19999999995,7,375441.19999999995
2018-11-09,377836.19999999995,8,377040.19999999995
2018-11-12,377836.19999999995,8,375359.19999999995
2018-11-13,377836.19999999995,8,377099.19999999995
2018-11-14,377836.19999999995,8,379155.19999999995
2018-11-15,378277.19999999995,6,380526.19999999995
2018-11-16,378277.19999999995,6,381477.19999999995
2018-11-19,378277.19999999995,6,379366.19999999995
2018-11-20,378277.19999999995,7,378035.19999999995
2018-11-21,378671.19999999995,4,379752.19999999995
2018-11-22,378671.19999999995,4,379752.19999999995
2018-11-23,378671.19999999995,5,378381.19999999995
2018-11-26,378671.19999999995,5,378001.19999999995
2018-11-27,378671.19999999995,6,378095.19999999995
2018-11-28,378671.19999999995,6,378778.19999999995
2018-11-29,378671.19999999995,7,376704.19999999995
2018-11-30,378671.19999999995,7,374294.19999999995
2018-12-03,378671.19999999995,7,374524.19999999995
2018-12-04,378671.19999999995,7,378434.19999999995
2018-12-05,378671.19999999995,7,378434.19999999995
2018-12-06,378671.19999999995,7,377960.19999999995
2018-12-07,378671.19999999995,8,380994.19999999995
2018-12-10,378671.19999999995,8,380893.19999999995
2018-12-11,378671.19999999995,11,381885.19999999995
2018-12-12,378671.19999999995,11,378322.19999999995
2018-12-13,378671.19999999995,15,385407.19999999995
2018-12-14,378671.19999999995,16,380691.19999999995
2018-12-17,378671.19999999995,16,385955.19999999995
2018-12-18,378671.19999999995,17,400634.19999999995
2018-12-19,378671.19999999995,17,392970.19999999995
2018-12-20,397439.19999999995,12,398302.19999999995
2018-12-21,397439.19999999995,12,387377.19999999995
2018-12-24,397439.19999999995,12,390568.19999999995
2018-12-25,397439.19999999995,12,390568.19999999995
2018-12-26,397439.19999999995,12,420383.19999999995
2018-12-27,406406.19999999995,8,419108.19999999995
2018-12-28,406406.19999999995,8,421368.19999999995
2018-12-31,406406.19999999995,8,419133.19999999995
2019-01-01,406406.19999999995,8,419133.19999999995
2019-01-02,406406.19999999995,8,414348.19999999995
2019-01-03,412843.19999999995,4,401755.19999999995
2019-01-04,412843.19999999995,4,410589.19999999995
2019-01-07,412843.19999999995,5,416349.19999999995
2019-01-08,412843.19999999995,5,417174.19999999995
2019-01-09,412843.19999999995,5,417994.19999999995
2019-01-10,416189.19999999995,7,416088.19999999995
2019-01-11,416189.19999999995,7,415823.19999999995
2019-01-14,416189.19999999995,8,413052.19999999995
2019-01-15,416189.19999999995,8,414668.19999999995
2019-01-16,416189.19999999995,8,414353.19999999995
2019-01-17,416447.19999999995,8,412101.19999999995
2019-01-18,416447.19999999995,8,411931.19999999995
2019-01-21,416447.19999999995,8,411931.19999999995
2019-01-22,416447.19999999995,8,418326.19999999995
2019-01-23,416447.19999999995,8,419466.19999999995
2019-01-24,436192.19999999995,4,435208.19999999995
2019-01-25,436192.19999999995,4,434193.19999999995
2019-01-28,436192.19999999995,4,435033.19999999995
2019-01-29,436192.19999999995,4,435203.19999999995
2019-01-30,436192.19999999995,5,436522.19999999995
2019-01-31,436192.19999999995,6,435546.19999999995
2019-02-01,436192.19999999995,8,436400.19999999995
2019-02-04,436192.19999999995,8,435519.19999999995
2019-02-05,436192.19999999995,9,434304.19999999995
2019-02-06,436192.19999999995,9,434309.19999999995
2019-02-07,437789.19999999995,7,433157.19999999995
2019-02-08,437789.19999999995,7,436112.19999999995
2019-02-11,437789.19999999995,8,436941.19999999995
2019-02-12,437789.19999999995,9,433060.19999999995
2019-02-13,437789.19999999995,9,436131.19999999995
2019-02-14,437287.19999999995,9,438053.19999999995
2019-02-15,437287.19999999995,9,441373.19999999995
2019-02-18,437287.19999999995,9,441373.19999999995
2019-02-19,437287.19999999995,10,440717.19999999995
2019-02-20,437287.19999999995,12,439465.19999999995
2019-02-21,443389.19999999995,10,441219.19999999995
2019-02-22,443389.19999999995,10,438509.19999999995
2019-02-25,443389.19999999995,10,438365.19999999995
2019-02-26,443389.19999999995,11,438923.19999999995
2019-02-27,443389.19999999995,12,438492.19999999995
2019-02-28,443389.19999999995,13,441091.19999999995
2019-03-01,443389.19999999995,14,439926.19999999995
2019-03-04,443389.19999999995,14,443351.19999999995
2019-03-05,443389.19999999995,14,445041.19999999995
2019-03-06,443389.19999999995,14,442051.19999999995
2019-03-07,450643.19999999995,13,447281.19999999995
2019-03-08,450643.19999999995,14,446770.19999999995
2019-03-11,450643.19999999995,15,446339.19999999995
2019-03-12,450643.19999999995,15,447014.19999999995
2019-03-13,450643.19999999995,16,449622.19999999995
2019-03-14,451060.19999999995,7,452154.19999999995
2019-03-15,451060.19999999995,8,447802.19999999995
2019-03-18,451060.19999999995,8,449982.19999999995
2019-03-19,451060.19999999995,8,455002.19999999995
2019-03-20,451060.19999999995,8,454398.19999999995
2019-03-21,454111.19999999995,7,454999.19999999995
2019-03-22,454111.19999999995,7,455789.19999999995
2019-03-25,454111.19999999995,7,457154.19999999995
2019-03-26,454111.19999999995,7,457300.19999999995
2019-03-27,454111.19999999995,7,458731.19999999995
2019-03-28,458437.19999999995,6,463291.19999999995
2019-03-29,458437.19999999995,9,463584.19999999995
2019-04-01,458437.19999999995,9,456568.19999999995
2019-04-02,458437.19999999995,9,458583.19999999995
2019-04-03,458437.19999999995,10,459753.19999999995
2019-04-04,459918.19999999995,8,460025.19999999995
2019-04-05,459918.19999999995,8,460400.19999999995
2019-04-08,459918.19999999995,8,461670.19999999995
2019-04-09,459918.19999999995,8,464975.19999999995
2019-04-10,459918.19999999995,8,460895.19999999995
2019-04-11,459841.19999999995,7,458054.19999999995
2019-04-12,459841.19999999995,7,457699.19999999995
2019-04-15,459841.19999999995,7,464595.19999999995
2019-04-16,459841.19999999995,8,463994.19999999995
2019-04-17,462716.19999999995,7,463154.19999999995
2019-04-18,462716.19999999995,7,461994.19999999995
2019-04-19,462716.19999999995,7,461994.19999999995
2019-04-22,462716.19999999995,7,461564.19999999995
2019-04-23,462716.19999999995,7,461219.19999999995
2019-04-24,462716.19999999995,7,462594.19999999995
2019-04-25,465874.19999999995,9,461960.19999999995
2019-04-26,465874.19999999995,11,460963.19999999995
2019-04-29,465874.19999999995,11,461098.19999999995
2019-04-30,465874.19999999995,12,460482.19999999995
2019-05-01,465874.19999999995,12,463052.19999999995
2019-05-02,466468.19999999995,9,463919.19999999995
2019-05-03,466468.19999999995,10,461473.19999999995
2019-05-06,466468.19999999995,10,463403.19999999995
2019-05-07,466468.19999999995,10,473908.19999999995
2019-05-08,466468.19999999995,11,474952.19999999995
2019-05-09,474083.19999999995,8,478025.19999999995
2019-05-10,474083.19999999995,8,478040.19999999995
2019-05-13,474083.19999999995,9,476124.19999999995
2019-05-14,474083.19999999995,9,477834.19999999995
2019-05-15,474083.19999999995,10,477373.19999999995
2019-05-16,479649.19999999995,8,475786.19999999995
2019-05-17,479649.19999999995,8,476361.19999999995
2019-05-20,479649.19999999995,9,476805.19999999995
2019-05-21,479649.19999999995,9,478335.19999999995
2019-05-22,479649.19999999995,9,478480.19999999995
2019-05-23,479649.19999999995,11,480083.19999999995
2019-05-24,479649.19999999995,12,481467.19999999995
2019-05-27,479649.19999999995,12,481467.19999999995
2019-05-28,479649.19999999995,12,482922.19999999995
2019-05-29,479649.19999999995,12,483252.19999999995
2019-05-30,483158.19999999995,10,484898.19999999995
2019-05-31,483158.19999999995,11,482538.19999999995
2019-06-03,483158.19999999995,11,476483.19999999995
2019-06-04,483158.19999999995,11,486313.19999999995
2019-06-05,483158.19999999995,11,491827.19999999995
2019-06-06,486977.19999999995,10,494177.19999999995
2019-06-07,486977.19999999995,10,497722.19999999995
2019-06-10,486977.19999999995,11,497891.19999999995
2019-06-11,486977.19999999995,11,498511.19999999995
2019-06-12,486977.19999999995,11,500871.19999999995
2019-06-13,496476.19999999995,9,499627.19999999995
2019-06-14,496476.19999999995,11,497950.19999999995
2019-06-17,496476.19999999995,12,497560.19999999995
2019-06-18,496476.19999999995,12,502369.19999999995
2019-06-19,496476.19999999995,12,502369.19999999995
2019-06-20,502734.19999999995,8,501991.19999999995
2019-06-21,502734.19999999995,8,503011.19999999995
2019-06-24,502734.19999999995,9,502565.19999999995
2019-06-25,502734.19999999995,9,503715.19999999995
2019-06-26,502734.19999999995,9,500595.19999999995
2019-06-27,507750.19999999995,9,502371.19999999995
2019-06-28,507750.19999999995,9,507431.19999999995
2019-07-01,507750.19999999995,9,506601.19999999995
2019-07-02,507750.19999999995,10,512150.19999999995
2019-07-03,507809.19999999995,9,510705.19999999995
2019-07-04,507809.19999999995,9,510705.19999999995
2019-07-05,507809.19999999995,9,514263.19999999995
2019-07-08,507809.19999999995,10,513079.19999999995
2019-07-09,507809.19999999995,10,514134.19999999995
2019-07-10,507809.19999999995,10,510570.19999999995
2019-07-11,513566.19999999995,9,513687.19999999995
2019-07-12,513566.19999999995,9,510312.19999999995
2019-07-15,513566.19999999995,10,509436.19999999995
2019-07-16,513566.19999999995,10,513966.19999999995
2019-07-17,513566.19999999995,10,515506.19999999995
2019-07-18,514607.19999999995,8,517684.19999999995
2019-07-19,514607.19999999995,8,519164.19999999995
2019-07-22,514607.19999999995,8,522489.19999999995
2019-07-23,514607.19999999995,8,523024.19999999995
2019-07-24,514607.19999999995,8,525004.2
2019-07-25,529154.2,7,529847.2
2019-07-26,529154.2,8,530296.2
2019-07-29,529154.2,8,531041.2
2019-07-30,529154.2,8,530806.2
2019-07-31,529154.2,8,532611.2
2019-08-01,536458.2,5,535638.2
2019-08-02,536458.2,7,536766.2
2019-08-05,536458.2,7,532906.2
2019-08-06,536458.2,7,535516.2
2019-08-07,536458.2,7,538236.2
2019-08-08,539241.2,10,541201.2
2019-08-09,539241.2,10,540327.2
2019-08-12,539241.2,11,538165.2
2019-08-13,539241.2,11,538960.2
2019-08-14,539241.2,11,530735.2
2019-08-15,537170.2,8,533577.2
2019-08-16,537170.2,10,537535.2
2019-08-19,537170.2,12,540214.2
2019-08-20,537170.2,12,539449.2
2019-08-21,537170.2,12,543163.2
2019-08-22,540447.2,12,542925.2
2019-08-23,540447.2,13,538244.2
2019-08-26,540447.2,13,542714.2
2019-08-27,540447.2,14,544483.2
2019-08-28,540447.2,14,544134.2
2019-08-29,540447.2,14,546564.2
2019-08-30,540447.2,16,545971.2
2019-09-02,540447.2,16,545971.2
2019-09-03,540447.2,17,546042.2
2019-09-04,540447.2,17,543961.2
2019-09-05,544369.2,14,543100.2
2019-09-06,544369.2,17,545522.2
2019-09-09,544369.2,17,543087.2
2019-09-10,544369.2,18,548006.2
2019-09-11,544369.2,19,536300.2
2019-09-12,546120.2,18,534958.2
2019-09-13,546120.2,19,530277.2
2019-09-16,546120.2,20,535461.2
2019-09-17,546120.2,20,538015.2
2019-09-18,546120.2,20,543445.2
2019-09-19,546870.2,14,534521.2
2019-09-20,546870.2,14,540801.2
2019-09-23,546870.2,14,546591.2
2019-09-24,546870.2,14,556226.2
2019-09-25,546870.2,14,561152.2
2019-09-26,559548.2,9,559079.2
2019-09-27,559548.2,9,557214.2
2019-09-30,559548.2,9,560694.2
2019-10-01,559548.2,9,561769.2
2019-10-02,559548.2,9,559724.2
2019-10-03,563947.2,6,567756.2
2019-10-04,563947.2,6,568356.2
2019-10-07,563947.2,6,568171.2
2019-10-08,563947.2,7,567810.2
2019-10-09,563947.2,7,570015.2
2019-10-10,568509.2,4,569030.2
2019-10-11,568509.2,4,570695.2
2019-10-14,568509.2,4,568405.2
2019-10-15,568509.2,5,567604.2
2019-10-16,568509.2,6,566073.2
2019-10-17,565460.2,4,563361.2
2019-10-18,565460.2,4,562556.2
2019-10-21,565460.2,4,565124.2
2019-10-22,565460.2,4,564328.2
2019-10-23,565460.2,4,564643.2
2019-10-24,565061.2,4,563892.2
2019-10-25,565061.2,7,564889.2
2019-10-28,565061.2,7,564789.2
2019-10-29,565061.2,8,566068.2
2019-10-30,565061.2,9,565092.2
2019-10-31,565061.2,10,562906.2
2019-11-01,565061.2,10,563531.2
2019-11-04,565061.2,10,566536.2
2019-11-05,565061.2,10,569186.2
2019-11-06,565061.2,10,571201.2
2019-11-07,571577.2,11,571081.2
2019-11-08,571577.2,11,572831.2
2019-11-11,571577.2,11,573101.2
2019-11-12,571577.2,11,574311.2
2019-11-13,571577.2,11,575936.2
2019-11-14,574236.2,9,575812.2
2019-11-15,574236.2,12,577704.2
2019-11-18,574236.2,12,575454.2
2019-11-19,574236.2,12,577375.2
2019-11-20,574236.2,13,579283.2
2019-11-21,583430.2,11,580379.2
2019-11-22,583430.2,14,579971.2
2019-11-25,583430.2,15,581395.2
2019-11-26,583430.2,16,582124.2
2019-11-27,583873.2,17,584611.2
2019-11-28,583873.2,17,584611.2
2019-11-29,583873.2,17,585881.2
2019-12-02,583873.2,17,587101.2
2019-12-03,583873.2,17,594196.2
2019-12-04,583873.2,17,591661.2
2019-12-05,584528.2,16,592727.2
2019-12-06,584528.2,17,592861.2
2019-12-09,584528.2,18,593152.2
2019-12-10,584528.2,19,588431.2
2019-12-11,584528.2,20,596569.2
2019-12-12,587682.2,17,591560.2
2019-12-13,587682.2,19,585653.2
2019-12-16,587682.2,19,582458.2
2019-12-17,587682.2,20,579277.2
2019-12-18,587682.2,20,587263.2
2019-12-19,591529.2,16,586803.2
2019-12-20,591529.2,16,582408.2
2019-12-23,591529.2,18,579376.2
2019-12-24,591529.2,18,579571.2
2019-12-25,591529.2,18,579571.2
2019-12-26,593945.2,18,573597.2
2019-12-27,593945.2,18,577402.2
2019-12-30,593945.2,18,584302.2
2019-12-31,593945.2,18,585212.2
2020-01-01,593945.2,18,585212.2
2020-01-02,593921.2,9,574462.2
2020-01-03,593921.2,9,576487.2
2020-01-06,593921.2,9,579092.2
2020-01-07,593921.2,9,577132.2
2020-01-08,593921.2,9,578232.2
2020-01-09,592652.2,8,573314.2
2020-01-10,592652.2,9,572568.2
2020-01-13,592652.2,9,569583.2
2020-01-14,592652.2,9,569583.2
2020-01-15,592652.2,9,574983.2
2020-01-16,572824.2,5,571984.2
2020-01-17,572824.2,5,571289.2
2020-01-20,572824.2,5,571289.2
2020-01-21,572824.2,5,572229.2
2020-01-22,572824.2,5,572804.2
2020-01-23,570078.2,3,571645.2
2020-01-24,570078.2,3,572200.2
2020-01-27,570078.2,3,573190.2
2020-01-28,570078.2,4,572719.2
2020-01-29,570078.2,4,573259.2
2020-01-30,574174.2,4,574810.2
2020-01-31,574174.2,7,573117.2
2020-02-03,574174.2,7,571702.2
2020-02-04,574174.2,8,569036.2
2020-02-05,574174.2,9,573005.2
2020-02-06,574174.2,11,571828.2
2020-02-07,574174.2,12,572307.2
2020-02-10,574174.2,12,572442.2
2020-02-11,574174.2,12,573457.2
2020-02-12,574174.2,13,570711.2
2020-02-13,572957.2,12,572495.2
2020-02-14,572957.2,13,572885.2
2020-02-17,572957.2,13,572885.2
2020-02-18,572957.2,13,570250.2
2020-02-19,572957.2,13,566285.2
2020-02-20,579673.2,6,580172.2
2020-02-21,579673.2,6,581938.2
2020-02-24,579673.2,6,583177.2
2020-02-25,579673.2,6,584587.2
2020-02-26,579673.2,6,587068.2
2020-02-27,585373.2,2,585231.2
2020-02-28,585373.2,2,583061.2
2020-03-02,585373.2,3,585135.2
2020-03-03,585373.2,3,582610.2
2020-03-04,585373.2,3,584100.2
2020-03-05,585373.2,4,584679.2
2020-03-06,585373.2,5,587648.2
2020-03-09,585373.2,5,585149.2
2020-03-10,585373.2,5,588253.2
2020-03-11,585373.2,5,587008.2
2020-03-12,591181.2,5,590841.2
2020-03-13,591181.2,7,590815.2
2020-03-16,591181.2,8,585398.2
2020-03-17,591181.2,8,587668.2
2020-03-18,591181.2,8,587830.2
2020-03-19,595745.2,6,588570.2
2020-03-20,595745.2,7,588224.2
2020-03-23,595745.2,7,584103.2
2020-03-24,595745.2,7,584533.2
2020-03-25,595745.2,7,586728.2
2020-03-26,595745.2,7,587529.2
2020-03-27,595745.2,8,587487.2
2020-03-30,595745.2,8,594897.2
2020-03-31,595745.2,8,588577.2
2020-04-01,595745.2,8,588537.2
2020-04-02,596909.2,5,590354.2
2020-04-03,596909.2,5,591815.2
2020-04-06,596909.2,5,593539.2
2020-04-07,596909.2,6,594623.2
2020-04-08,600476.2,3,596408.2
2020-04-09,600476.2,4,598342.2
2020-04-10,600476.2,4,598342.2
2020-04-13,600476.2,4,600967.2
2020-04-14,600476.2,4,595887.2
2020-04-15,600476.2,4,601933.2
2020-04-16,599004.2,3,598747.2
2020-04-17,599004.2,4,599321.2
2020-04-20,599004.2,4,598895.2
2020-04-21,599004.2,4,611000.2
2020-04-22,599004.2,4,610185.2
2020-04-23,604473.2,4,610639.2
2020-04-24,604473.2,5,608058.2
2020-04-27,604473.2,8,602845.2
2020-04-28,604473.2,8,606475.2
2020-04-29,604473.2,10,601958.2
2020-04-30,604473.2,12,606081.2
2020-05-01,604473.2,13,607120.2
2020-05-04,604473.2,13,618976.2
2020-05-05,604473.2,13,597366.2
2020-05-06,604473.2,14,606375.2
2020-05-07,612754.2,16,606258.2
2020-05-08,612754.2,20,604899.2
2020-05-11,612754.2,20,600066.2
2020-05-12,612754.2,20,599494.2
2020-05-13,612754.2,20,606721.2
2020-05-14,614222.2,19,606598.2
2020-05-15,614222.2,20,611634.2
2020-05-18,614222.2,20,609817.2
2020-05-19,614222.2,20,607402.2
2020-05-20,614222.2,20,609527.2
2020-05-21,609522.2,17,613430.2
2020-05-22,609522.2,20,610927.2
2020-05-25,609522.2,20,610927.2
2020-05-26,609522.2,20,597637.2
2020-05-27,609522.2,20,597362.2
2020-05-28,613324.2,20,604834.2
2020-05-29,613324.2,20,607470.2
2020-06-01,613324.2,20,601625.2
2020-06-02,613324.2,20,606577.2
2020-06-03,613324.2,20,608225.2
2020-06-04,612312.2,20,609304.2
2020-06-05,612312.2,20,606156.2
2020-06-08,612312.2,20,605210.2
2020-06-09,612312.2,20,607687.2
2020-06-10,612312.2,20,618891.2
2020-06-11,629394.2,13,640402.2
2020-06-12,629394.2,17,643043.2
2020-06-15,629394.2,17,653094.2
2020-06-16,629394.2,19,637876.2
2020-06-17,629394.2,19,638881.2
2020-06-18,649489.2,10,641914.2
2020-06-19,649489.2,10,641914.2
2020-06-22,649489.2,11,644818.2
2020-06-23,649489.2,12,644517.2
2020-06-24,649489.2,12,644172.2
2020-06-25,649715.2,12,644783.2
2020-06-26,649715.2,12,643743.2
2020-06-29,649715.2,12,657619.2
2020-06-30,649715.2,13,659732.2
2020-07-01,649403.2,12,653676.2
2020-07-02,649403.2,13,653660.2
2020-07-03,649403.2,13,653660.2
2020-07-06,649403.2,13,653500.2
2020-07-07,649403.2,13,654471.2
2020-07-08,649403.2,13,652551.2
2020-07-09,651660.2,9,643971.2
2020-07-10,651660.2,9,655186.2
2020-07-13,651660.2,10,671480.2
2020-07-14,651660.2,10,682060.2
2020-07-15,651660.2,10,684500.2
